Text,company,metric,scaled_metric,sentiment
Good day and welcome to the Acorn Energy Fourth Quarter and Year End 2020 Earnings Conference Call. All participants will be in a listenonly mode. Operator Instructions Please note this event is being recorded. I would now like to turn the conference over to Tracy Clifford CFO of Acorn Energy and COO of its OmniMetrix subsidiary. Please go ahead.,ACFN,0.999592125415802,0.9991842471119705,Positive
Thank you and welcome everyone to todays conference call. As a reminder many of the statements made in todays prepared remarks or in response to your questions may be forwardlooking. These statements are subject to various risks and uncertainties. For example the operating and financial performance of the company in 2021 and future years is subject to factors such as risks associated with disruptions to business operations and customer demand resulting from the impact of the COVID19 pandemic executing the companys operating strategy maintaining high renewal rates growing our customer base changes in technology changes in the competitive environment financial and economic risks as well as having access to sufficient capital for growth.,ACFN,0.9999592304229736,0.9999184604741469,Positive
Forwardlooking statements are based on managements beliefs as well as assumptions made using information currently available to management pursuant to the Safe Harbor provisions of the Private Securities Litigation Reform Act of 1995. There are no assurances that Acorn or OmniMetrix will be able to achieve their growth goals in 2021 nor in future years. The company also undertakes no obligation to disclose any revisions to these forwardlooking statements to reflect events or circumstances after the date made. A full discussion of the risks and uncertainties that may affect the company is included in the Risk Factors on Acorns Form 10K as filed with the Securities and Exchange Commission.,ACFN,0.5,-4.559776116797032e-06,Negative
Now I will hand the call over to Acorns CEO Jan Loeb. Jan,ACFN,0.5,-4.559776116797032e-06,Negative
Thank you Tracy and good morning to those joining our call. Id like to start today by saying that I am very proud of the OmniMetrix team and grateful for how they rose to the challenges we faced over the past year.,ACFN,0.999045729637146,0.9980914505717735,Positive
Despite significant business challenges posed by COVID19 Acorn was able to achieve profitability on a net income basis in the fourth quarter and positive cash flow for the quarter and full year. These are very significant milestones for our company and ones that we have been working toward for several years. Whats even more important is that we believe Acorn is on track to achieve profitability and positive cash flow on a consolidated basis for the full year 2021 and moving forward.,ACFN,0.9746937751770021,0.9493873195725651,Positive
This is particularly significant for Acorn because we have nearly 70 million of net operating loss carryforwards or NOLs. These NOLs will shelter our future net income from federal taxes for the foreseeable future positively impacting our operating cash flow and benefiting our future cash balances and financial positioning. Further we no longer have any debt as we paid off our line of credit last month. What this means for our shareholders is we now have a growing cashgenerating and selffunding business with attractive margins and recurring revenue streams. This should make our public equity more attractive to a broader base of investors and puts us in a stronger position to pursue valueenhancing investments and opportunities.,ACFN,0.9999955892562866,0.9999911784723492,Positive
Importantly throughout 2020 and the ongoing spread of the pandemic we were able to remain fully operational without any employee furloughs. We did however experience an interruption in all business development dialogues particularly within our Corrosion Protection or CP business as prospective customers halted procurement discussions and inperson sales meetings. Nevertheless the strength of our value proposition and business model enabled Acorn to achieve yearoveryear GAAP revenue growth in 2020 and to maintain our cash basis sales at 2019 levels.,ACFN,0.9046530723571776,0.8093052751930683,Positive
We also further improved our gross margins to 69.8 in 2020 versus 65  65.4 in 2019 reflecting an improvement in hardware margins and an increase in highermargin monitoring revenue as a percentage of total revenue. In addition the personal challenges we all faced with the spread of COVID some also faced the unpredictable damaging impacts of mother nature 2020 and the beginning of 2021 has been another period of severe weather patterns from wildfires in California to extreme cold in Texas. Severe weather continues to disrupt and expose the national problem of aging power grids. This increasing incidence of power outages is a driver of backup generator power installations even in places that historically have not been large markets for us.,ACFN,4.559755325317383e-06,-1.0,Negative
California for example has not historically been a big market for generators which may now be a big market opportunity for generator OEMs thereby growing the base of potential endpoints to offer our monitoring and control products and services. These trends combined with the very limited penetration of backup generator monitoring in both commercial industrial and consumer settings as well as the growing base of people who work remotely are important demand drivers underlying our longterm growth outlook. It is estimated that as little as 15 of backup power generators are currently monitored which support our longterm growth yield.,ACFN,0.9997547268867492,0.9995094515367173,Positive
